file_path,filename,model_provider,model_name,board_format_parsed,prompt_config_parsed,timestamp_parsed,total_puzzles,correct,incorrect,invalid,parse_error,illegal_move,system_error,legacy_invalid,accuracy,first_move_accuracy,model_name_config,prompt_config_config,board_formats_config,client_type,batch_size,timestamp_config,evaluation_duration,hostname,git_commit,correct_rate,incorrect_rate,invalid_rate,parse_error_rate,illegal_move_rate
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/ascii_basic_20251012_190131.json,ascii_basic_20251012_190131.json,Qwen,Qwen3-VL-30B-A3B-Instruct,ascii,basic,20251012_190131,100,0,17,83,0,83,0,0,0.0,0.01,Qwen/Qwen3-VL-30B-A3B-Instruct,basic,ascii,vllm,100,2025-10-12T19:01:31.591883,00:00:02,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.0,0.17,0.83,0.0,0.83
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/ascii_cot_20251012_190300.json,ascii_cot_20251012_190300.json,Qwen,Qwen3-VL-30B-A3B-Instruct,ascii,cot,20251012_190300,100,0,1,99,99,0,0,0,0.0,0.0,Qwen/Qwen3-VL-30B-A3B-Instruct,cot,ascii,vllm,100,2025-10-12T19:03:00.315111,00:00:25,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.0,0.01,0.99,0.99,0.0
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/ascii_detailed_cot_20251012_190645.json,ascii_detailed_cot_20251012_190645.json,Qwen,Qwen3-VL-30B-A3B-Instruct,ascii,detailed_cot,20251012_190645,100,0,12,88,34,54,0,0,0.0,0.0,Qwen/Qwen3-VL-30B-A3B-Instruct,detailed_cot,ascii,vllm,100,2025-10-12T19:06:45.874912,00:00:19,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.0,0.12,0.88,0.34,0.54
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/ascii_few_shot_20251012_191005.json,ascii_few_shot_20251012_191005.json,Qwen,Qwen3-VL-30B-A3B-Instruct,ascii,few_shot,20251012_191005,100,1,21,78,22,56,0,0,0.01,0.01,Qwen/Qwen3-VL-30B-A3B-Instruct,few_shot,ascii,vllm,100,2025-10-12T19:10:05.061662,00:00:19,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.01,0.21,0.78,0.22,0.56
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/fen_basic_20251012_190124.json,fen_basic_20251012_190124.json,Qwen,Qwen3-VL-30B-A3B-Instruct,fen,basic,20251012_190124,100,0,25,75,0,75,0,0,0.0,0.0,Qwen/Qwen3-VL-30B-A3B-Instruct,basic,fen,vllm,100,2025-10-12T19:01:24.262417,00:00:02,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.0,0.25,0.75,0.0,0.75
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/fen_cot_20251012_190230.json,fen_cot_20251012_190230.json,Qwen,Qwen3-VL-30B-A3B-Instruct,fen,cot,20251012_190230,100,0,3,97,90,7,0,0,0.0,0.0,Qwen/Qwen3-VL-30B-A3B-Instruct,cot,fen,vllm,100,2025-10-12T19:02:30.447845,00:00:25,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.0,0.03,0.97,0.9,0.07
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/fen_detailed_cot_20251012_190619.json,fen_detailed_cot_20251012_190619.json,Qwen,Qwen3-VL-30B-A3B-Instruct,fen,detailed_cot,20251012_190619,100,0,13,87,50,37,0,0,0.0,0.0,Qwen/Qwen3-VL-30B-A3B-Instruct,detailed_cot,fen,vllm,100,2025-10-12T19:06:19.741739,00:00:21,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.0,0.13,0.87,0.5,0.37
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/fen_few_shot_20251012_190941.json,fen_few_shot_20251012_190941.json,Qwen,Qwen3-VL-30B-A3B-Instruct,fen,few_shot,20251012_190941,100,1,21,78,9,69,0,0,0.01,0.01,Qwen/Qwen3-VL-30B-A3B-Instruct,few_shot,fen,vllm,100,2025-10-12T19:09:41.997155,00:00:18,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.01,0.21,0.78,0.09,0.69
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/pgn_basic_20251012_190139.json,pgn_basic_20251012_190139.json,Qwen,Qwen3-VL-30B-A3B-Instruct,pgn,basic,20251012_190139,100,1,42,57,0,57,0,0,0.01,0.05,Qwen/Qwen3-VL-30B-A3B-Instruct,basic,pgn,vllm,100,2025-10-12T19:01:39.015406,00:00:02,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.01,0.42,0.57,0.0,0.57
/home/hice1/dhe83/scratch/chess-vlm/results/Qwen/Qwen3-VL-30B-A3B-Instruct/pgn_cot_20251012_190330.json,pgn_cot_20251012_190330.json,Qwen,Qwen3-VL-30B-A3B-Instruct,pgn,cot,20251012_190330,100,0,14,86,74,12,0,0,0.0,0.01,Qwen/Qwen3-VL-30B-A3B-Instruct,cot,pgn,vllm,100,2025-10-12T19:03:30.828802,00:00:24,atl1-1-03-017-16-0,979306b1a81647a29a0ce2bafc1286103def6177,0.0,0.14,0.86,0.74,0.12
